,year,pro_team_id,games_played,opponent_plays_perGame,opponent_pts_perGame,rush_yds_perGame,rush_tds_perGame,pass_yds_perGame,pass_tds_perGame,ints_perGame,completion_pct_allowed_perGame,pts_allowed_perGame,total_tds_perGame,opponent_plays_perGame_rank,opponent_pts_perGame_rank,rush_yds_perGame_rank,rush_tds_perGame_rank,pass_yds_perGame_rank,pass_tds_perGame_rank,ints_perGame_rank,completion_pct_allowed_perGame_rank,pts_allowed_perGame_rank,total_tds_perGame_rank,pass_def_rank,rush_def_rank,total_rank
20,2024,21,14,53.714285714285715,9.428571428571429,93.71428571428571,0.5714285714285714,185.71428571428572,1.0,0.0,0.6413793103448275,9.428571428571429,1.5714285714285714,10.0,1.0,7.0,3.0,1.0,2.0,1.0,12.0,1.0,1.0,4.0,5.0,3.9
14,2024,15,14,52.785714285714285,11.571428571428571,82.5,0.6428571428571429,212.85714285714286,1.2857142857142858,0.0,0.6375545851528385,11.571428571428571,1.9285714285714286,6.0,2.0,4.0,4.0,8.0,6.0,1.0,11.0,2.0,2.0,6.5,4.0,4.6
6,2024,7,14,55.857142857142854,9.428571428571429,77.85714285714286,0.35714285714285715,232.85714285714286,1.2142857142857142,0.0,0.6363636363636364,9.428571428571429,1.5714285714285714,15.0,1.0,2.0,1.0,20.0,5.0,1.0,9.0,1.0,1.0,8.75,1.5,5.6
30,2024,33,14,51.57142857142857,12.0,72.78571428571429,0.5714285714285714,228.57142857142858,1.4285714285714286,0.0,0.6469248291571753,12.0,2.0,4.0,3.0,1.0,3.0,17.0,8.0,1.0,13.0,3.0,3.0,9.75,2.0,5.6
7,2024,8,14,51.214285714285715,12.428571428571429,95.35714285714286,1.0714285714285714,235.64285714285714,1.0,0.0,0.6102088167053364,12.428571428571429,2.0714285714285716,3.0,4.0,9.0,10.0,23.0,2.0,1.0,4.0,4.0,4.0,7.5,9.5,6.4
27,2024,28,14,53.0,12.857142857142858,118.85714285714286,1.0,189.64285714285714,1.1428571428571428,0.0,0.6030927835051546,12.857142857142858,2.142857142857143,7.0,5.0,23.0,9.0,2.0,4.0,1.0,3.0,5.0,5.0,2.5,16.0,6.4
21,2024,22,14,54.357142857142854,9.428571428571429,93.78571428571429,0.6428571428571429,231.42857142857142,0.9285714285714286,0.0,0.6754385964912281,9.428571428571429,1.5714285714285714,12.0,1.0,8.0,4.0,18.0,1.0,1.0,23.0,1.0,1.0,10.75,6.0,7.0
31,2024,34,14,56.5,13.285714285714286,105.64285714285714,0.5,215.0,1.7142857142857142,0.0,0.579295154185022,13.285714285714286,2.2142857142857144,18.0,6.0,15.0,2.0,11.0,11.0,1.0,1.0,6.0,6.0,6.0,8.5,7.7
19,2024,20,14,55.5,14.142857142857142,113.07142857142857,1.2857142857142858,191.07142857142858,1.0714285714285714,0.0,0.6210526315789474,14.142857142857142,2.357142857142857,14.0,8.0,18.0,12.0,4.0,3.0,1.0,5.0,8.0,8.0,3.25,15.0,8.1
2,2024,3,14,53.714285714285715,11.571428571428571,113.92857142857143,1.0,236.35714285714286,0.9285714285714286,0.0,0.6514423076923077,11.571428571428571,1.9285714285714286,10.0,2.0,19.0,9.0,24.0,1.0,1.0,15.0,2.0,2.0,10.25,14.0,8.5
11,2024,12,14,53.285714285714285,13.285714285714286,83.0,0.7857142857142857,227.71428571428572,1.4285714285714286,0.0,0.6756756756756757,13.285714285714286,2.2142857142857144,8.0,6.0,5.0,6.0,16.0,8.0,1.0,24.0,6.0,6.0,12.25,5.5,8.6
1,2024,2,14,50.785714285714285,13.285714285714286,101.71428571428571,0.7142857142857143,219.42857142857142,1.5,0.0,0.7002457002457002,13.285714285714286,2.2142857142857144,1.0,6.0,13.0,5.0,14.0,9.0,1.0,29.0,6.0,6.0,13.25,9.0,9.0
23,2024,24,14,57.142857142857146,12.428571428571429,117.85714285714286,0.35714285714285715,221.42857142857142,1.7142857142857142,0.0,0.6367521367521367,12.428571428571429,2.0714285714285716,21.0,4.0,22.0,1.0,15.0,11.0,1.0,10.0,4.0,4.0,9.25,11.5,9.3
4,2024,5,14,53.857142857142854,15.428571428571429,124.07142857142857,1.2142857142857142,212.0,1.3571428571428572,0.0,0.587467362924282,15.428571428571429,2.5714285714285716,11.0,10.0,25.0,11.0,7.0,7.0,1.0,2.0,10.0,10.0,4.25,18.0,9.4
13,2024,14,14,57.857142857142854,12.428571428571429,113.92857142857143,0.6428571428571429,234.21428571428572,1.4285714285714286,0.0,0.6228070175438597,12.428571428571429,2.0714285714285716,23.0,4.0,19.0,4.0,22.0,8.0,1.0,6.0,4.0,4.0,9.25,11.5,9.5
22,2024,23,14,56.42857142857143,13.285714285714286,79.0,0.9285714285714286,260.0,1.2857142857142858,0.0,0.6569200779727096,13.285714285714286,2.2142857142857144,17.0,6.0,3.0,8.0,28.0,6.0,1.0,19.0,6.0,6.0,13.5,5.5,10.0
25,2024,26,14,54.5,12.857142857142858,119.21428571428571,0.6428571428571429,216.14285714285714,1.5,0.0,0.6587112171837709,12.857142857142858,2.142857142857143,13.0,5.0,24.0,4.0,13.0,9.0,1.0,21.0,5.0,5.0,11.0,14.0,10.0
9,2024,10,14,52.42857142857143,16.285714285714285,98.57142857142857,0.9285714285714286,189.71428571428572,1.7857142857142858,0.0,0.6838046272493573,16.285714285714285,2.7142857142857144,5.0,12.0,11.0,8.0,3.0,12.0,1.0,26.0,12.0,12.0,10.5,9.5,10.2
24,2024,25,14,53.642857142857146,16.285714285714285,104.21428571428571,1.2142857142857142,201.92857142857142,1.5,0.0,0.656470588235294,16.285714285714285,2.7142857142857144,9.0,12.0,14.0,11.0,5.0,9.0,1.0,17.0,12.0,12.0,8.0,12.5,10.2
8,2024,9,14,56.357142857142854,12.857142857142858,99.07142857142857,0.7857142857142857,231.71428571428572,1.3571428571428572,0.0,0.6953642384105961,12.857142857142858,2.142857142857143,16.0,5.0,12.0,6.0,19.0,7.0,1.0,28.0,5.0,5.0,13.75,9.0,10.4
18,2024,19,14,52.785714285714285,13.285714285714286,132.14285714285714,1.0,210.42857142857142,1.2142857142857142,0.0,0.7044854881266491,13.285714285714286,2.2142857142857144,6.0,6.0,29.0,9.0,6.0,5.0,1.0,30.0,6.0,6.0,10.5,19.0,10.4
5,2024,6,14,50.92857142857143,15.857142857142858,116.71428571428571,1.2857142857142858,213.92857142857142,1.3571428571428572,0.0,0.6847826086956522,15.857142857142858,2.642857142857143,2.0,11.0,21.0,12.0,10.0,7.0,1.0,27.0,11.0,11.0,11.25,16.5,11.3
15,2024,16,14,59.357142857142854,13.285714285714286,95.78571428571429,0.7857142857142857,260.5,1.4285714285714286,0.0,0.6568047337278106,13.285714285714286,2.2142857142857144,27.0,6.0,10.0,6.0,29.0,8.0,1.0,18.0,6.0,6.0,14.0,8.0,11.7
26,2024,27,14,58.357142857142854,14.142857142857142,91.35714285714286,0.5,267.92857142857144,1.8571428571428572,0.0,0.652908067542214,14.142857142857142,2.357142857142857,24.0,8.0,6.0,2.0,31.0,13.0,1.0,16.0,8.0,8.0,15.25,4.0,11.7
16,2024,17,14,56.857142857142854,15.0,125.92857142857143,0.8571428571428571,215.21428571428572,1.6428571428571428,0.0,0.6501240694789082,15.0,2.5,20.0,9.0,27.0,7.0,12.0,10.0,1.0,14.0,9.0,9.0,9.25,17.0,11.8
3,2024,4,14,57.42857142857143,16.285714285714285,111.5,0.9285714285714286,233.64285714285714,1.7857142857142858,0.0,0.6353711790393013,16.285714285714285,2.7142857142857144,22.0,12.0,17.0,8.0,21.0,12.0,1.0,8.0,12.0,12.0,10.5,12.5,12.5
12,2024,13,14,57.857142857142854,15.0,108.5,0.7857142857142857,234.21428571428572,1.7142857142857142,0.0,0.6579520697167757,15.0,2.5,23.0,9.0,16.0,6.0,22.0,11.0,1.0,20.0,9.0,9.0,13.5,11.0,12.6
17,2024,18,14,61.5,13.714285714285714,136.64285714285714,1.0,257.2142857142857,1.2857142857142858,0.0,0.6270491803278689,13.714285714285714,2.2857142857142856,28.0,7.0,30.0,9.0,27.0,6.0,1.0,7.0,7.0,7.0,10.25,19.5,12.9
10,2024,11,14,56.57142857142857,15.0,126.28571428571429,1.0714285714285714,213.85714285714286,1.4285714285714286,0.0,0.7068062827225131,15.0,2.5,19.0,9.0,28.0,10.0,9.0,8.0,1.0,31.0,9.0,9.0,12.25,19.0,13.3
29,2024,30,14,58.785714285714285,16.285714285714285,124.92857142857143,1.0,264.7857142857143,1.7142857142857142,0.0,0.6702127659574468,16.285714285714285,2.7142857142857144,26.0,12.0,26.0,9.0,30.0,11.0,1.0,22.0,12.0,12.0,16.0,17.5,16.1
0,2024,1,14,58.57142857142857,17.571428571428573,115.71428571428571,0.7142857142857143,244.14285714285714,2.2142857142857144,0.0,0.711578947368421,17.571428571428573,2.9285714285714284,25.0,13.0,20.0,5.0,26.0,15.0,1.0,32.0,13.0,13.0,18.5,12.5,16.3
28,2024,29,14,63.785714285714285,20.571428571428573,171.0,1.3571428571428572,238.35714285714286,2.0714285714285716,0.0,0.6759259259259259,20.571428571428573,3.4285714285714284,29.0,14.0,31.0,13.0,25.0,14.0,1.0,25.0,14.0,14.0,16.25,22.0,18.0
38,2025,7,6,52.166666666666664,6.0,79.33333333333333,0.3333333333333333,196.33333333333334,0.6666666666666666,0.16666666666666666,0.5767195767195767,6.0,1.0,4.0,1.0,6.0,1.0,7.0,2.0,11.0,1.0,1.0,1.0,5.25,3.5,3.5
63,2025,34,5,52.6,9.6,88.8,1.0,193.8,0.6,1.0,0.5882352941176471,9.6,1.6,5.0,3.0,8.0,8.0,6.0,1.0,5.0,3.0,3.0,3.0,3.75,8.0,4.5
32,2025,1,5,48.8,10.8,111.0,0.4,156.4,1.4,1.0,0.5769230769230769,10.8,1.8,1.0,5.0,18.0,2.0,1.0,7.0,5.0,2.0,5.0,5.0,3.75,10.0,5.1
55,2025,24,6,55.166666666666664,12.0,123.0,1.1666666666666667,192.33333333333334,0.8333333333333334,1.0,0.6042780748663101,12.0,2.0,10.0,6.0,21.0,9.0,4.0,3.0,5.0,5.0,6.0,6.0,4.25,15.0,7.5
45,2025,14,6,58.333333333333336,9.0,95.5,0.3333333333333333,210.83333333333334,1.1666666666666667,0.6666666666666666,0.6580310880829017,9.0,1.5,20.0,2.0,13.0,1.0,10.0,5.0,7.0,14.0,2.0,2.0,9.0,7.0,7.6
36,2025,5,6,49.666666666666664,14.0,69.5,0.5,193.33333333333334,1.8333333333333333,0.3333333333333333,0.6726190476190476,14.0,2.3333333333333335,2.0,9.0,2.0,3.0,5.0,11.0,10.0,19.0,9.0,9.0,11.25,2.5,7.9
48,2025,17,6,51.166666666666664,10.0,72.83333333333333,0.3333333333333333,241.0,1.3333333333333333,0.6666666666666666,0.7159090909090909,10.0,1.6666666666666667,3.0,4.0,3.0,1.0,21.0,6.0,7.0,29.0,4.0,4.0,15.75,2.0,8.2
47,2025,16,5,55.4,10.8,127.0,0.8,175.0,1.0,0.4,0.6521739130434783,10.8,1.8,12.0,5.0,24.0,6.0,2.0,4.0,9.0,12.0,5.0,5.0,6.75,15.0,8.4
60,2025,29,6,49.666666666666664,14.0,78.0,0.6666666666666666,219.83333333333334,1.6666666666666667,0.6666666666666666,0.6720430107526881,14.0,2.3333333333333335,2.0,9.0,5.0,5.0,13.0,10.0,7.0,18.0,9.0,9.0,12.0,5.0,8.7
42,2025,11,6,55.333333333333336,13.0,86.66666666666667,0.5,243.66666666666666,1.6666666666666667,1.1666666666666667,0.660377358490566,13.0,2.1666666666666665,11.0,7.0,7.0,3.0,22.0,10.0,3.0,16.0,7.0,7.0,12.75,5.0,9.3
43,2025,12,6,53.666666666666664,13.0,115.16666666666667,1.0,200.33333333333334,1.1666666666666667,0.6666666666666666,0.6971428571428571,13.0,2.1666666666666665,8.0,7.0,19.0,8.0,8.0,5.0,7.0,27.0,7.0,7.0,11.75,13.5,10.3
59,2025,28,6,56.166666666666664,13.0,109.16666666666667,0.6666666666666666,246.66666666666666,1.5,0.3333333333333333,0.6298342541436464,13.0,2.1666666666666665,14.0,7.0,17.0,5.0,23.0,8.0,10.0,7.0,7.0,7.0,12.0,11.0,10.5
40,2025,9,5,60.4,13.2,69.4,0.6,221.0,1.6,0.4,0.6732673267326733,13.2,2.2,25.0,8.0,1.0,4.0,14.0,9.0,9.0,20.0,8.0,8.0,13.0,2.5,10.6
33,2025,2,6,53.166666666666664,16.0,153.33333333333334,1.5,181.16666666666666,1.1666666666666667,0.3333333333333333,0.6424242424242425,16.0,2.6666666666666665,7.0,11.0,30.0,11.0,3.0,5.0,10.0,9.0,11.0,11.0,6.75,20.5,10.8
61,2025,30,6,59.333333333333336,14.0,90.83333333333333,0.6666666666666666,266.1666666666667,1.6666666666666667,1.6666666666666667,0.6160714285714285,14.0,2.3333333333333335,22.0,9.0,9.0,5.0,30.0,10.0,1.0,6.0,9.0,9.0,11.75,7.0,11.0
39,2025,8,6,53.833333333333336,18.0,93.0,0.8333333333333334,229.16666666666666,2.1666666666666665,1.0,0.6486486486486487,18.0,3.0,9.0,13.0,11.0,7.0,18.0,13.0,5.0,10.0,13.0,13.0,11.5,9.0,11.2
57,2025,26,6,60.833333333333336,12.0,76.5,0.3333333333333333,255.83333333333334,1.6666666666666667,1.1666666666666667,0.6888888888888889,12.0,2.0,26.0,6.0,4.0,1.0,27.0,10.0,3.0,25.0,6.0,6.0,16.25,2.5,11.4
44,2025,13,6,56.666666666666664,15.0,93.83333333333333,1.1666666666666667,231.83333333333334,1.3333333333333333,0.5,0.6616915422885572,15.0,2.5,16.0,10.0,12.0,9.0,19.0,6.0,8.0,17.0,10.0,10.0,12.5,10.5,11.7
53,2025,22,6,63.333333333333336,12.0,98.83333333333333,0.8333333333333334,257.5,1.1666666666666667,0.6666666666666666,0.6329113924050633,12.0,2.0,31.0,6.0,14.0,7.0,28.0,5.0,7.0,8.0,6.0,6.0,12.0,10.5,11.8
52,2025,21,6,61.166666666666664,15.0,129.16666666666666,1.3333333333333333,216.16666666666666,1.1666666666666667,0.5,0.5920398009950248,15.0,2.5,27.0,10.0,27.0,10.0,12.0,5.0,8.0,4.0,10.0,10.0,7.25,18.5,12.3
51,2025,20,6,57.333333333333336,16.0,129.0,0.6666666666666666,202.16666666666666,2.0,0.0,0.6488095238095238,16.0,2.6666666666666665,18.0,11.0,26.0,5.0,9.0,12.0,12.0,11.0,11.0,11.0,11.0,15.5,12.6
58,2025,27,6,56.5,15.0,91.0,0.8333333333333334,253.33333333333334,1.6666666666666667,0.6666666666666666,0.6834170854271358,15.0,2.5,15.0,10.0,10.0,7.0,25.0,10.0,7.0,22.0,10.0,10.0,16.0,8.5,12.6
56,2025,25,6,58.0,14.0,106.33333333333333,0.6666666666666666,222.5,1.6666666666666667,0.0,0.6787564766839378,14.0,2.3333333333333335,19.0,9.0,16.0,5.0,17.0,10.0,12.0,21.0,9.0,9.0,15.0,10.5,12.7
50,2025,19,6,59.833333333333336,14.0,119.5,1.1666666666666667,254.83333333333334,1.1666666666666667,0.6666666666666666,0.65625,14.0,2.3333333333333335,24.0,9.0,20.0,9.0,26.0,5.0,7.0,13.0,9.0,9.0,12.75,14.5,13.1
49,2025,18,6,55.833333333333336,18.0,106.33333333333333,0.6666666666666666,222.0,2.3333333333333335,0.5,0.6954022988505748,18.0,3.0,13.0,13.0,16.0,5.0,16.0,14.0,8.0,26.0,13.0,13.0,16.0,10.5,13.7
54,2025,23,6,63.166666666666664,14.0,105.66666666666667,0.6666666666666666,282.3333333333333,1.6666666666666667,0.8333333333333334,0.6582278481012658,14.0,2.3333333333333335,30.0,9.0,15.0,5.0,31.0,10.0,6.0,15.0,9.0,9.0,15.5,10.0,13.9
34,2025,3,5,52.8,20.4,140.0,0.8,211.2,2.6,1.4,0.7407407407407407,20.4,3.4,6.0,14.0,29.0,6.0,11.0,17.0,2.0,31.0,14.0,14.0,15.25,17.5,14.4
41,2025,10,6,58.5,18.0,133.0,1.8333333333333333,221.5,1.1666666666666667,0.6666666666666666,0.711111111111111,18.0,3.0,21.0,13.0,28.0,12.0,15.0,5.0,7.0,28.0,13.0,13.0,13.75,20.0,15.5
46,2025,15,6,57.0,17.0,154.33333333333334,1.0,233.83333333333334,1.8333333333333333,0.16666666666666666,0.7485714285714286,17.0,2.8333333333333335,17.0,12.0,31.0,8.0,20.0,11.0,11.0,32.0,12.0,12.0,18.5,19.5,16.6
35,2025,4,7,59.57142857142857,20.571428571428573,126.42857142857143,1.0,261.2857142857143,2.4285714285714284,1.1428571428571428,0.6866952789699571,20.571428571428573,3.4285714285714284,23.0,15.0,23.0,8.0,29.0,15.0,4.0,23.0,15.0,15.0,17.75,15.5,17.0
62,2025,33,6,62.166666666666664,23.0,124.66666666666667,1.5,251.5,2.3333333333333335,0.16666666666666666,0.6886792452830188,23.0,3.8333333333333335,28.0,17.0,22.0,11.0,24.0,14.0,11.0,24.0,17.0,17.0,18.25,16.5,18.5
37,2025,6,6,62.5,21.0,127.66666666666667,1.0,286.5,2.5,0.3333333333333333,0.7184466019417476,21.0,3.5,29.0,16.0,25.0,8.0,32.0,16.0,10.0,30.0,16.0,16.0,22.0,16.5,19.8
