,event_id,commence_date,bookmaker,team,is_home,opponent,home_team,away_team,moneyline,spread,spread_odds,total_ou,over_odds,under_odds,week_label,opponent_pro_team_id,opponent_division,opponent_conference,pro_team_id,division,conference
0,32ec2bd4ac9e4c40f9f5cbed7e67f837,2025-11-13 00:00:00-06:00,draftkings,New England Patriots,1,New York Jets,New England Patriots,New York Jets,-800,-11.5,-110,43.5,-110.0,-110.0,11,20,AFC East,AFC (American Football Conference),17,AFC East,AFC (American Football Conference)
27,96ce7785b0980b03282c7e10d4c58d4a,2025-11-16 00:00:00-06:00,draftkings,Kansas City Chiefs,0,Denver Broncos,Denver Broncos,Kansas City Chiefs,-185,-3.5,-110,43.5,-115.0,-105.0,11,7,AFC West,AFC (American Football Conference),12,AFC West,AFC (American Football Conference)
26,cc60225b5a907bd9ba7c27c23131fc5c,2025-11-16 00:00:00-06:00,draftkings,Baltimore Ravens,0,Cleveland Browns,Cleveland Browns,Baltimore Ravens,-470,-8.5,-105,41.5,-108.0,-112.0,11,5,AFC North,AFC (American Football Conference),33,AFC North,AFC (American Football Conference)
25,e926e654cedeb65fcfcc389a5158ef4e,2025-11-16 00:00:00-06:00,draftkings,Seattle Seahawks,0,Los Angeles Rams,Los Angeles Rams,Seattle Seahawks,130,2.5,-102,48.5,-108.0,-112.0,11,14,NFC West,NFC (National Football Conference),26,NFC West,NFC (National Football Conference)
24,91630b9c62640117918fa30d2a62d2db,2025-11-16 00:00:00-06:00,draftkings,San Francisco 49ers,0,Arizona Cardinals,Arizona Cardinals,San Francisco 49ers,-148,-2.5,-115,48.5,-115.0,-105.0,11,22,NFC West,NFC (National Football Conference),25,NFC West,NFC (National Football Conference)
23,591fd7cff37201a14cbdfbd457592445,2025-11-16 00:00:00-06:00,draftkings,Los Angeles Chargers,0,Jacksonville Jaguars,Jacksonville Jaguars,Los Angeles Chargers,-148,-3.0,-102,43.5,-118.0,-102.0,11,30,AFC South,AFC (American Football Conference),24,AFC West,AFC (American Football Conference)
22,fd2f29289d6437a7c07d4780c5f04936,2025-11-16 00:00:00-06:00,draftkings,Houston Texans,0,Tennessee Titans,Tennessee Titans,Houston Texans,-375,-7.5,-110,39.5,-110.0,-110.0,11,10,AFC South,AFC (American Football Conference),34,AFC South,AFC (American Football Conference)
21,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 00:00:00-06:00,draftkings,Green Bay Packers,0,New York Giants,New York Giants,Green Bay Packers,-410,-7.5,-110,44.5,-110.0,-110.0,11,19,NFC East,NFC (National Football Conference),9,NFC North,NFC (National Football Conference)
20,7147476b5d96c0ee874b838de3910ee3,2025-11-16 00:00:00-06:00,draftkings,Cincinnati Bengals,0,Pittsburgh Steelers,Pittsburgh Steelers,Cincinnati Bengals,185,5.5,-115,49.5,-112.0,-108.0,11,23,AFC North,AFC (American Football Conference),4,AFC North,AFC (American Football Conference)
19,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 00:00:00-06:00,draftkings,Chicago Bears,0,Minnesota Vikings,Minnesota Vikings,Chicago Bears,140,3.0,-112,48.5,-110.0,-110.0,11,16,NFC North,NFC (National Football Conference),3,NFC North,NFC (National Football Conference)
18,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 00:00:00-06:00,draftkings,Tampa Bay Buccaneers,0,Buffalo Bills,Buffalo Bills,Tampa Bay Buccaneers,200,5.5,-110,49.5,-105.0,-115.0,11,2,AFC East,AFC (American Football Conference),27,NFC South,NFC (National Football Conference)
17,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 00:00:00-06:00,draftkings,Carolina Panthers,0,Atlanta Falcons,Atlanta Falcons,Carolina Panthers,150,3.5,-110,42.5,-115.0,-105.0,11,1,NFC South,NFC (National Football Conference),29,NFC South,NFC (National Football Conference)
16,265f0188945bb81ec64751571eb724cb,2025-11-16 00:00:00-06:00,draftkings,Washington Commanders,0,Miami Dolphins,Miami Dolphins,Washington Commanders,124,2.5,-105,47.5,-112.0,-108.0,11,15,AFC East,AFC (American Football Conference),28,NFC East,NFC (National Football Conference)
15,32ec2bd4ac9e4c40f9f5cbed7e67f837,2025-11-13 00:00:00-06:00,draftkings,New York Jets,0,New England Patriots,New England Patriots,New York Jets,550,11.5,-110,43.5,-110.0,-110.0,11,17,AFC East,AFC (American Football Conference),20,AFC East,AFC (American Football Conference)
14,80d04ba917883a6438580ebae9fb0f22,2025-11-17 00:00:00-06:00,draftkings,Las Vegas Raiders,1,Dallas Cowboys,Las Vegas Raiders,Dallas Cowboys,160,3.5,-110,50.5,-110.0,-110.0,11,6,NFC East,NFC (National Football Conference),13,AFC West,AFC (American Football Conference)
13,6d209e0e637f3b116ec958e0634f2a02,2025-11-16 00:00:00-06:00,draftkings,Philadelphia Eagles,1,Detroit Lions,Philadelphia Eagles,Detroit Lions,-122,-1.5,-110,48.5,-112.0,-108.0,11,8,NFC North,NFC (National Football Conference),21,NFC East,NFC (National Football Conference)
12,96ce7785b0980b03282c7e10d4c58d4a,2025-11-16 00:00:00-06:00,draftkings,Denver Broncos,1,Kansas City Chiefs,Denver Broncos,Kansas City Chiefs,154,3.5,-110,43.5,-115.0,-105.0,11,12,AFC West,AFC (American Football Conference),7,AFC West,AFC (American Football Conference)
11,cc60225b5a907bd9ba7c27c23131fc5c,2025-11-16 00:00:00-06:00,draftkings,Cleveland Browns,1,Baltimore Ravens,Cleveland Browns,Baltimore Ravens,360,8.5,-115,41.5,-108.0,-112.0,11,33,AFC North,AFC (American Football Conference),5,AFC North,AFC (American Football Conference)
10,e926e654cedeb65fcfcc389a5158ef4e,2025-11-16 00:00:00-06:00,draftkings,Los Angeles Rams,1,Seattle Seahawks,Los Angeles Rams,Seattle Seahawks,-155,-2.5,-118,48.5,-108.0,-112.0,11,26,NFC West,NFC (National Football Conference),14,NFC West,NFC (National Football Conference)
9,91630b9c62640117918fa30d2a62d2db,2025-11-16 00:00:00-06:00,draftkings,Arizona Cardinals,1,San Francisco 49ers,Arizona Cardinals,San Francisco 49ers,124,2.5,-105,48.5,-115.0,-105.0,11,25,NFC West,NFC (National Football Conference),22,NFC West,NFC (National Football Conference)
8,591fd7cff37201a14cbdfbd457592445,2025-11-16 00:00:00-06:00,draftkings,Jacksonville Jaguars,1,Los Angeles Chargers,Jacksonville Jaguars,Los Angeles Chargers,124,3.0,-118,43.5,-118.0,-102.0,11,24,AFC West,AFC (American Football Conference),30,AFC South,AFC (American Football Conference)
7,fd2f29289d6437a7c07d4780c5f04936,2025-11-16 00:00:00-06:00,draftkings,Tennessee Titans,1,Houston Texans,Tennessee Titans,Houston Texans,295,7.5,-110,39.5,-110.0,-110.0,11,34,AFC South,AFC (American Football Conference),10,AFC South,AFC (American Football Conference)
6,5c06e82838fcfade9adf1e89b8bd3081,2025-11-16 00:00:00-06:00,draftkings,New York Giants,1,Green Bay Packers,New York Giants,Green Bay Packers,320,7.5,-110,44.5,-110.0,-110.0,11,9,NFC North,NFC (National Football Conference),19,NFC East,NFC (National Football Conference)
5,7147476b5d96c0ee874b838de3910ee3,2025-11-16 00:00:00-06:00,draftkings,Pittsburgh Steelers,1,Cincinnati Bengals,Pittsburgh Steelers,Cincinnati Bengals,-225,-5.5,-105,49.5,-112.0,-108.0,11,4,AFC North,AFC (American Football Conference),23,AFC North,AFC (American Football Conference)
4,229a5e9ce60dcb344a8cc3c97121154e,2025-11-16 00:00:00-06:00,draftkings,Minnesota Vikings,1,Chicago Bears,Minnesota Vikings,Chicago Bears,-166,-3.0,-108,48.5,-110.0,-110.0,11,3,NFC North,NFC (National Football Conference),16,NFC North,NFC (National Football Conference)
3,96377d2fb55e3cef733cecccdecaed5f,2025-11-16 00:00:00-06:00,draftkings,Buffalo Bills,1,Tampa Bay Buccaneers,Buffalo Bills,Tampa Bay Buccaneers,-245,-5.5,-110,49.5,-105.0,-115.0,11,27,NFC South,NFC (National Football Conference),2,AFC East,AFC (American Football Conference)
2,0ae85bbc3711ad0cb94475a40e2364f0,2025-11-16 00:00:00-06:00,draftkings,Atlanta Falcons,1,Carolina Panthers,Atlanta Falcons,Carolina Panthers,-180,-3.5,-110,42.5,-115.0,-105.0,11,29,NFC South,NFC (National Football Conference),1,NFC South,NFC (National Football Conference)
1,265f0188945bb81ec64751571eb724cb,2025-11-16 00:00:00-06:00,draftkings,Miami Dolphins,1,Washington Commanders,Miami Dolphins,Washington Commanders,-148,-2.5,-115,47.5,-112.0,-108.0,11,28,NFC East,NFC (National Football Conference),15,AFC East,AFC (American Football Conference)
28,6d209e0e637f3b116ec958e0634f2a02,2025-11-16 00:00:00-06:00,draftkings,Detroit Lions,0,Philadelphia Eagles,Philadelphia Eagles,Detroit Lions,102,1.5,-110,48.5,-112.0,-108.0,11,21,NFC East,NFC (National Football Conference),8,NFC North,NFC (National Football Conference)
29,80d04ba917883a6438580ebae9fb0f22,2025-11-17 00:00:00-06:00,draftkings,Dallas Cowboys,0,Las Vegas Raiders,Las Vegas Raiders,Dallas Cowboys,-192,-3.5,-110,50.5,-110.0,-110.0,11,13,AFC West,AFC (American Football Conference),6,NFC East,NFC (National Football Conference)
